# code: es
# key, value

# translation by ruii (@mi.honesta.reaccion)

language_name, Español
translator, ruii (@mi.honesta.reaccion)

# menu bar / barra de menú
file, Archivo
new, Nuevo
open, Abrir
open_recent, Abrir reciente
clear, Vacío
save, Guardar
save_as, Guardar como
#- export_score,
exit, Salir
edit, Editar
undo, Deshacer
redo, Rehacer
select_all, Seleccionar todo
view, Vista
settings, Ajustes
window, Ventana
vsync, VSync
show_fps, Mostrar FPS
debug, Debug
create_auto_save, Crear autoguardado
help, Ayuda
about, Descripción general

# dialogs
file_not_found, Archivo no encontrado
file_not_found_msg1, El archivo
file_not_found_msg2, no se ha encontrado
remove_recent_file_not_found, Quieres eliminarlo de los archivos recientes?
yes, Sí
no, No
unsaved_changes, Tienes cambios sin guardar
ask_save, Quieres guardar los cambios?
warn_unsaved, Los cambios no guardados se perderán.
save_changes, Guardar cambios
discard_changes, Descartar cambios
update_available, Hay una actualización disponible!
update_available_description, La versión %s está disponible. ¿Quieres abrirla en el navegador?
score_file, Archivo de música
#- export_successful,
#- unknown_file_format,
#- open_as_file_format,
#- export_as_file_format,
error, Error
error_load_score_file, Se produjo un error al cargar la partitura.
#- error_save_score_file,
error_load_music_file, No se pudo cargar el archivo de música.
#- score_partially_missing,
#- export_format_not_avail_extended,
cancel, Cancelar
general, General
key_config, Configuración de teclas
language, Idioma
#- minify,
auto, Automático
auto_save, Autoguardado
auto_save_enable, Autoguardado habilitado
auto_save_interval, Intervalo de guardado automático (minutos)
auto_save_count, Límite de autoguardados
accent_color, Color principal
accent_color_help, Seleccione el color principal a aplicar. El color más a la izquierda se puede personalizar en la configuración de abajo.
select_accent_color, Selecciona un color principal.
display_mode, Mostrar
theme, Tema
base_theme, Tema base
theme_light, Claro
theme_dark, Oscuro
custom_color, Color personalizado
timeline, Timeline
#- match_timeline_size_to_window,
match_notes_size_to_timeline, Ajustar la altura de las notas al ancho del editor
lane_width, Ancho del editor
notes_height, Altura de las notas
scrolling, Desplazamiento
scroll_speed_normal, Velocidad de desplazamiento
scroll_speed_shift, Velocidad de desplazamiento (Shift)
use_smooth_scroll, Desplazamiento suave
smooth_scroll_time, Tiempo de suavización
return_to_last_tick, Volver a la posición original al pausar,
cursor_auto_scroll, Desplazamiento automático,
cursor_auto_scroll_amount, Cantidad de desplazamiento automático
#- division_type,
background, Fondo
background_image, Imagen de fondo
draw_background, Dibujar fondo
background_brightness, Brillo del fondo
lanes_opacity, Opacidad del editor
video, Video
#- visuals,
#- notes_skin,
notes_se, Efecto de sonido de las notas
show_tick_in_properties, Mostrar tick en las propiedades
#- warn_score_extension_disable,

# score editor / editor de partitura
options, Opciones
chart_properties, Propiedades de la partitura
note_properties, Propiedades de la nota
notes_timeline, Editor de notas
select, Seleccionar
tap, Tap
hold, Hold
hold_step, Hold mid
flick, Flick
critical, Critical
dummy, Fake
hold_dummy, Fake Hold
#- hold_critical,
#- hold_separator,
trace, Trace
guide, Guide
damage, Damage
bpm, BPM
time_signature, Signatura de Compás
none, Ninguno
default, Predeterminado
left, Izquierda
right, Derecha
#- down,
#- down_left,
#- down_right,
normal, Normal
hidden, Escondido
skip, Skip
linear, Lineal
ease_in, Curva hacia adentro
ease_out, Curva hacia afuera
ease_in_out, Curva adentro-afuera
ease_out_in, Curva afuera-adentro
#- ease_none,
#- sound_effect,
#- sfx_default,
#- sfx_none,
#- sfx_tap,
#- sfx_flick,
#- sfx_trace,
#- sfx_tick,
#- sfx_crit_tap,
#- sfx_crit_flick,
#- sfx_crit_trace,
#- sfx_crit_tick,
#- sfx_damage,
#- hold_layer_top,
#- hold_layer_bottom,
#- hold_layer_tooltip,
delete, Eliminar
copy, Copiar
cut, Cortar
paste, Pegar
flip_paste, Pegar volteado
duplicate, Duplicar
flip_duplicate, Duplicar volteado
flip, Voltear
note_width, Ancho de la nota
#- note_align,
shrink_down, Contraer abajo
shrink_up, Contraer arriba
compress_selection, Comprimir seleccionadas
connect_holds, Conectar holds
split_hold, Separar holds
repeat_hold_mids, Repetir hold-mids
#- hold_to_traces,
#- add_traces_for_hold,
#- convert_hold_to_traces,
#- convert_guide_hold,
#- convert_guide_to_hold,
#- convert_hold_to_guide,
#- convert_hold_to_none,
lerp_hispeeds, Interpolar hispeeds
step_type, Tipo de step
#- step_alpha,
ease_type, Tipo de curva
flick_type, Tipo de flick
hold_type, Tipo de hold
fade_type, Tipo de desvanecimiento
#- hold_start_type,
#- hold_end_type,
metadata, Metadatos
title, Título
designer, Diseñador
artist, Artista
jacket, Portada
lane_extension, Extensión del editor
#- life_point,
audio, Audio
music_file, Archivo de audio
music_offset, Compensación del audio
volume_master, Volumen general
volume_bgm, Volumen de la música
volume_se, Volumen de SE
#- playback_speed,
statistics, Estadísticas
#- hispeeds,
taps, Taps
flicks, Flicks
holds, Holds
steps, Hold Mids
#- guides,
traces, Traces
total, Total
combo, Combo
goto_measure, Ir al compás
division, División en %d
division_affix, %d División
custom, personalizada
#- snap_mode,
#- snap_mode_relative,
#- snap_mode_absolute,
#- snap_mode_individual_absolute,
zoom, Zoom
show_step_outlines, Mostrar bordes de steps
#- hide_step_outlines_during_playback,
draw_waveform, Mostrar forma de Onda
#- stop_playback_at_music_end,
edit_bpm, Cambiar BPM
tick, Tick
remove, Remover
edit_time_signature, Cambiar signatura de compás
measure, Compás
skill, Habilidad
#- skill_effect,
#- skill_effect_score,
#- skill_effect_heal,
#- skill_effect_perfect,
#- skill_level,
increase_note_size, Ampliar ancho de la nota
decrease_note_size, Disminuir ancho de la nota
hi_speed, Hi-speed
edit_hi_speed, Editar Hi-speed
hi_speed_speed, Velocidad
#- hi_speed_skip_beat,
#- hi_speed_ease,
#- hi_speed_ease_none,
#- hi_speed_ease_linear,
#- hi_speed_hide_notes,
fade_none, Sin desvanecimiento
fade_in, Aparecer (adentro)
fade_out, Desvanecer (afuera)
#- fade_custom,
#- fade_classic,
guide_color, Color de guía
guide_neutral, Neutro
guide_red, Rojo
guide_blue, Azul
guide_green, Verde
guide_yellow, Amarillo
