# code: id
# key, value

language_name,Bahasa Indonesia
translator,rokiri (DC: jcrdmlz)

# menu bar
file,Berkas
new,Baru
open,Buka
open_recent,Berkas Terbaru
clear,Kosongkan Riwayat
file_open_gallery,Buka Galeri
save,Simpan
save_as,Simpan Sebagai
export_score,Ekspor Skor
exit,Keluar
edit,Sunting
undo,Urungkan
redo,Redan
select_all,Pilih Semua
tools,Alat
tools_straighten_3d,Luruskan 3D
view,Lihat
settings,Setelan
window,Jendela
vsync,VSync
show_fps,Tampilkan FPS
debug,Debug
create_auto_save,Buat Cadangan Otomatis
help,Bantuan
about,Tentang

# dialogs
file_not_found,Berkas tidak ditemukan
file_not_found_msg1,Berkas
file_not_found_msg2,tidak dapat ditemukan
remove_recent_file_not_found,Apakah Anda ingin menghapusnya dari daftar berkas terbaru?
yes,Ya
no,Tidak
property_enable,Aktifkan
unsaved_changes,Perubahan Belum Disimpan
ask_save,Simpan perubahan saat ini?
warn_unsaved,Perubahan yang belum disimpan akan hilang.
save_changes,Simpan Perubahan
discard_changes,Buang Perubahan
update_available,Versi baru tersedia!
update_available_description,Versi %s telah tersedia. Apakah Anda ingin membukanya di peramban?
score_file,Berkas skor
export_successful,Ekspor berhasil diselesaikan
unknown_file_format,Format berkas tidak dikenal
open_as_file_format,Apakah Anda ingin membukanya sebagai...
export_as_file_format,Apakah Anda ingin mengekspornya sebagai...
error,Kesalahan
error_load_score_file,Terjadi kesalahan saat membaca berkas skor
error_save_score_file,Terjadi kesalahan saat menyimpan berkas skor
error_load_music_file,Tidak dapat membuka berkas musik
score_partially_missing,Beberapa bagian dari skor mungkin hilang!
export_format_not_avail_extended,Format ini tidak tersedia untuk skor penuh
cancel,Batal
general,Umum
key_config,Konfigurasi Tombol
language,Bahasa
minify,Minifikasi
auto,Otomatis
auto_save,Simpan Otomatis
auto_save_enable,Aktifkan Simpan Otomatis
auto_save_interval,Interval Simpan Otomatis (menit)
auto_save_count,Batas Maksimum Riwayat Simpan Otomatis
accent_color,Warna Aksen
accent_color_help,Pilih warna aksen untuk antarmuka. Slot pertama dapat dikustomisasi melalui kontrol warna di bawah.
select_accent_color,Pilih warna aksen.
display_mode,Mode Tampilan
theme,Tema
base_theme,Tema Dasar
theme_light,Terang
theme_dark,Gelap
custom_color,Warna Kustom
timeline,Lini Masa
match_timeline_size_to_window,Sesuaikan ukuran lini masa dengan jendela
match_notes_size_to_timeline,Sesuaikan ukuran note dengan lebar lini masa
lane_width,Lebar Jalur
notes_height,Tinggi Note
scrolling,Pengguliran
scroll_speed_normal,Kecepatan Gulir
scroll_speed_shift,Kecepatan Gulir (Shift)
use_smooth_scroll,Gunakan Pengguliran Halus
smooth_scroll_time,Durasi Pengguliran Halus
return_to_last_tick,Kembali ke Posisi Terakhir Saat Jeda
cursor_auto_scroll,Gulir Otomatis Kursor
cursor_auto_scroll_amount,Persentase Gulir Otomatis Kursor dari Lini Masa
division_type,Jenis Pembagian
background,Latar Belakang
background_image,Gambar Latar Belakang
draw_background,Tampilkan Gambar Latar Belakang
background_brightness,Kecerahan Latar Belakang
lanes_opacity,Opasitas Jalur
video,Video
visuals,Visual
notes_skin,Tampilan Note
notes_se,Efek Suara Note
show_tick_in_properties,Tampilkan Tick di Jendela Properti Note
warn_score_extension_disable,Peringatan: Ekstensi skor dinonaktifkan

# score editor
options,Opsi
chart_properties,Properti Chart
note_properties,Properti Note
notes_timeline,Lini Masa Note
select,Pilih
tap,Tap
hold,Hold
hold_step,Hold Mid
flick,Flick
critical,Critical
dummy,Fake
hold_dummy,Fake Hold
hold_critical,Critical Hold
hold_separator,Pemisah Hold
trace,Trace
guide,Guide
damage,Damage
bpm,BPM
time_signature,Tanda Birama
none,Tidak Ada
default,Bawaan
left,Kiri
right,Kanan
down,Bawah
down_left,Bawah Kiri
down_right,Bawah Kanan
normal,Normal
hidden,Tersembunyi
skip,Lewati
linear,Linear
ease_in,Ease In
ease_out,Ease Out
ease_in_out,Ease In Out
ease_out_in,Ease Out In
ease_none,Tanpa Ease
sound_effect,Efek Suara
sfx_default,Efek Suara Bawaan
sfx_none,Tanpa Efek Suara
sfx_tap,Efek Suara Tap
sfx_flick,Efek Suara Flick
sfx_trace,Efek Suara Trace
sfx_tick,Efek Suara Tick
sfx_crit_tap,Efek Suara Critical Tap
sfx_crit_flick,Efek Suara Critical Flick
sfx_crit_trace,Efek Suara Critical Trace
sfx_crit_tick,Efek Suara Critical Tick
sfx_damage,Efek Suara Damage
hold_layer_top,Lapisan Hold Atas
hold_layer_bottom,Lapisan Hold Bawah
hold_layer_tooltip,Tampilkan urutan lapisan untuk note hold
delete,Hapus
copy,Salin
cut,Potong
paste,Tempel
flip_paste,Tempel Terbalik
duplicate,Duplikat
flip_duplicate,Duplikat Terbalik
flip,Balik
note_width,Lebar Note
note_align,Penyelarasan Note
shrink_down,Perkecil ke Bawah
shrink_up,Perkecil ke Atas
compress_selection,Kompres Pilihan
connect_holds,Hubungkan Hold
split_hold,Pisahkan Hold
repeat_hold_mids,Ulangi Hold Mid
hold_to_traces,Ubah Hold menjadi Trace
