# code: ja
# key, value

language_name, 日本語

# menu bar
file, ファイル
new, 新規
open, 開く
open_recent, 最近使用した項目を開く
clear, クリア
file_open_gallery, 譜面ギャラリーを開く
save, 保存
save_as, 別名で保存
export_score, 譜面ファイルを出力
exit, 終了
edit, 編集
undo, 元に戻す
redo, やり直す
select_all, 全て選択
view, 表示
tools, ツール
tools_straighten_3d, 3D直線化
settings, 設定
window, ウィンドウ
vsync, VSync（垂直同期）
show_fps, FPS情報を表示
debug, デバッグ
create_auto_save, オートセーブを実行
help, ヘルプ
about, 概要

# dialogs
file_not_found, ファイルが見つかりません
file_not_found_msg1, ファイル
file_not_found_msg2, が見つかりません
remove_recent_file_not_found, 最近使用した項目から削除しますか？
yes, はい
no, いいえ
unsaved_changes, 最後の保存から譜面が変更されています！
ask_save, 譜面を保存しますか？
warn_unsaved, 保存されていない変更は失われます。
save_changes, 保存する
discard_changes, 保存しない
update_available, 新しいバージョンがリリースされました！
update_available_description, %s がリリースされました。ブラウザで開きますか？
score_file, 譜面ファイル
export_successful, エクスポートが完了しました。
unknown_file_format, 例外な拡張子です。
open_as_file_format,開こうとしているファイルのフォーマットを選択してください。
export_as_file_format, エクスポートするフォーマットを選択してください。
error, エラー
error_load_score_file, 譜面ファイルの読み込み中にエラーが発生しました
error_save_score_file, 譜面ファイルの保存中にエラーが発生しました
error_load_music_file, 音楽ファイルの読み込みに失敗しました
score_partially_missing, 譜面の一部が欠落している可能性があります
cancel, キャンセル
general, 一般
key_config, キーコンフィグ
language, 言語
minify, 圧縮
auto, 自動
auto_save, オートセーブ
auto_save_enable, オートセーブ
auto_save_interval, オートセーブの間隔（分）
auto_save_count, オートセーブの最大保存数
accent_color, アクセント色
accent_color_help, 適用するアクセント色を選択して下さい。一番左の色は下の設定からカスタマイズできます。
select_accent_color, カスタム色
display_mode, 表示
theme, テーマ
base_theme, 基本テーマ
theme_light, ライト
theme_dark, ダーク
custom_color, カスタム色
timeline, タイムライン
match_notes_size_to_timeline, ノーツの高さをレーンの幅に合わせる
