# code: kr
# key, value

language_name, 한국어
translator, fjordic, TK50P

# menu bar
file, 파일
new, 새로 만들기
open, 열기
open_recent, 최근 파일 열기
clear, 지우기
save, 저장
save_as, 다른 이름으로 저장
export_score, 점수 내보내기
exit, 종료
edit, 편집
undo, 실행 취소
redo, 다시 실행
select_all, 전부 선택
view, 보기
settings, 설정
window, 창
vsync, 수직 동기화
show_fps, FPS 표시
debug, 디버그 (Debug)
create_auto_save, 자동 저장 생성
help, 도움말
about, 정보

# dialogs
file_not_found, 파일을 찾을 수 없습니다.
file_not_found_msg1, 파일
file_not_found_msg2, 을 찾을 수 없습니다.
remove_recent_file_not_found, 최근 파일 목록에서 제거하시겠습니까?
yes, 예
no, 아니요
unsaved_changes, 저장되지 않은 변경 사항
ask_save, 변경 사항을 저장하시겠습니까?
warn_unsaved, 저장하지 않은 변경 사항은 삭제됩니다.
save_changes, 저장
discard_changes, 저장 안 함
update_available, 업데이트가 있습니다!
update_available_description, %s 버전을 사용할 수 있습니다. 브라우저에서 여시겠습니까?
score_file, 채보 (Score) 파일
export_successful, 내보내기가 완료되었습니다.
unknown_file_format, 잘못된 파일 형식입니다.
open_as_file_format, 어떤 파일 형식으로 여시겠습니까?
export_as_file_format, 어떤 파일 형식으로 내보내시겠습니까?
error, 오류
error_load_score_file, 채보 파일을 불러오는 중 오류가 발생했습니다.
error_save_score_file, 채보 파일을 저장하는 중 오류가 발생했습니다.
error_load_music_file, 음악 파일을 열 수 없습니다.
score_partially_missing, 채보의 일부가 누락되었을 수 있습니다!
export_format_not_avail_extended, 확장된 점수에서는 이 파일 형식을 사용할 수 없습니다.
cancel, 취소
general, 일반
key_config, 키 구성
language, 언어
minify, Minify (공백 제거)
auto, 자동
auto_save, 자동 저장
auto_save_enable, 자동 저장 활성화됨
auto_save_interval, 자동 저장 간격(분)
auto_save_count, 최대 자동 저장 항목
accent_color, 강조 (Accent) 색상
accent_color_help, 적용할 강조 (Accent) 색상을 선택하세요. 첫 번째 슬롯은 아래 색상 컨트롤을 통해 맞춤 설정할 수 있습니다.
select_accent_color, 강조 (Accent) 색상을 선택하세요.
display_mode, 디스플레이 모드
theme, 테마
base_theme, 기본 테마
theme_light, 라이트
theme_dark, 다크
custom_color, 사용자 지정 색상
timeline, 타임라인
match_timeline_size_to_window, 창 너비에 타임라인 너비 맞춤
match_notes_size_to_timeline, 타임라인 너비에 노트 크기 맞춤
lane_width, 레인 (Lane) 너비
notes_height, 노트 높이
scrolling, 스크롤
scroll_speed_normal, 스크롤 속도
scroll_speed_shift, 스크롤 속도 (Shift)
use_smooth_scroll, 부드러운 스크롤 사용
smooth_scroll_time, 부드러운 스크롤 시간
return_to_last_tick, 정지 시 마지막 틱으로 복귀
cursor_auto_scroll, 커서 자동 스크롤
