# code: ru
# key, value

# translation by Nobody (@_notfallen_), Ababik (@ababikmeoww)

language_name, Русский
translator, Nobody (@_notfallen_), Ababik (@ababikmeoww)

# menu bar / бар меню
file, Файл
new, Новый
open, Открыть
open_recent, Открыть недавний
clear, Очистить
save, Сохранить
save_as, Сохранить как
export_score, Экспортировать
exit, Выйти
edit, Изменить
undo, Отменить
redo, Переделать
select_all, Выбрать всё
view, Вид
settings, Настройки
window, Окно
vsync, VSync
show_fps, Показывать FPS
debug, Отладка
create_auto_save, Создать авто-сохранение
help, Помощь
about, О приложении

# dialogs
file_not_found, Файл не найден
file_not_found_msg1, Файл
file_not_found_msg2, Он не был найден
remove_recent_file_not_found, Вы хотите удалить его из недавних файлов?
yes, Да
no, Нет
unsaved_changes, Несохранённые изменения
ask_save, Сохранить несохранённые изменения?
warn_unsaved, Любые несохранённые изменения исчезнут.
save_changes, Сохранить изменения
discard_changes, Сбросить изменения
update_available, Обновление приложения доступно!
update_available_description, Версия %s доступна. Хотите открыть его в браузере?
score_file, Файл нот
export_successful, Экспорт успешно завершен
unknown_file_format, Неизвестный формат файла
open_as_file_format, Вы хотите открыть его как...
export_as_file_format, Вы хотите экспортировать его как...
error, Ошибка
error_load_score_file, Произошла ошибка при попытке прочитать ноты.
error_save_score_file, Произошла ошибка при попытке сохранить ноты.
error_load_music_file, Не удалось открыть файл музыки.
score_partially_missing, Какая-то часть чарта может отсутствовать!
export_format_not_avail_extended, Этот формат недоступен для расширенного чарта.
cancel, Отмена
general, Общий
key_config, Конфигурация клавиш
language, Язык
minify, Минифицировать
auto, Авто
auto_save, Авто-сохранение
auto_save_enable, Авто-сохранение включено
auto_save_interval, Интервал авто-сохранения (мин)
auto_save_count, Максимальное количество авто-сохранений
accent_color, Акцентный цвет
accent_color_help, Выберите акцентный цвет чтобы применить
select_accent_color, Выберите акцентный цвет
display_mode, Режим интерфейса
theme, Тема
base_theme, Базовая тема
theme_light, Светлая
theme_dark, Тёмная
custom_color, Кастомный цвет
timeline, Таймлайн
match_timeline_size_to_window, Сопоставить размер таймлайна с шириной окна
match_notes_size_to_timeline, Сопоставить размер нот с шириной таймлайна
lane_width, Ширина полосы
notes_height, Высота нот
scrolling, Прокручивание
scroll_speed_normal, Скорость прокрутки
scroll_speed_shift, Скорость прокрутки (Шифт)
use_smooth_scroll, Использовать плавную прокрутку
smooth_scroll_time, Время плавной прокрутки
