# code: tr
# key, value

language_name, Turkish
translator, sctech-tr

# menu bar
file, Dosya
new, Yeni
open, Aç
open_recent, Yakin zamanda düzenlenmis dosyayi aç
clear, Temizle
save, Kaydet
save_as, Farkli Kaydet
#- export_score,
exit, Çik
edit, Düzenle
undo, Geri al
redo, Ileri al
select_all, Hepsini seç
view, Görüntüle
settings, Ayarlar
window, Pencere
vsync, VSync
show_fps, FPS'i göster
debug, Hata ayiklama
create_auto_save, Otomatik kaydet
help, Yardim
about, Hakkinda

# dialogs
file_not_found, Dosya bulunamadi
file_not_found_msg1, Dosya
file_not_found_msg2, bulunamadi
remove_recent_file_not_found, En son açilanlar listesinden kaldirmak istiyor musunuz?
yes, Evet
no, Hayir
#- property_enable,
unsaved_changes, Kaydedilmemis degisiklikler
ask_save, Degisiklikler kaydedilsin mi?
warn_unsaved, Kaydedilmeyen degisiklikler kaybolacaktir.
save_changes, Degisiklikleri kaydet
discard_changes, Degisiklikleri saklama
update_available, Yeni bir versiyon kullanilabilir!
update_available_description, %s mevcuttur. Tarayicinizda açmak ister misiniz?
score_file, Puan dosyasi
#- export_successful,
#- unknown_file_format,
#- open_as_file_format,
#- export_as_file_format,
error, Hata
error_load_score_file, Puan dosyasini okurken bir hata olustu
#- error_save_score_file,
error_load_music_file, Müzik dosyasi açilamiyor
#- score_partially_missing,
#- export_format_not_avail_extended,
cancel, Iptal
general, Genel
key_config, Tus konfigurasyonu
language, Lisan
minify, Küçültün
auto, Otomatik
auto_save, Otomatik kayit
auto_save_enable, Otomatik kayit açildi
auto_save_interval, Otomatik kayit arasi (dk)
auto_save_count, Maksimum otomatik kayit limiti
accent_color, Vurgu rengi
accent_color_help, Bir vurgu rengi seçin. Ilk slot asagidaki renk kontrollerinden özellestirilebilir.
select_accent_color, Bir vurgu rengi seçin.
display_mode, Görünüm modu
theme, Tema
base_theme, Temel tema
theme_light, Açik
theme_dark, Koyu
custom_color, Özel renk
timeline, Zaman çizelgesi
#- match_timeline_size_to_window,
match_notes_size_to_timeline, Not boyutunu zaman çizelgesinin genisligine göre eslestir
lane_width, Yol genisligi
notes_height, Not yüksekligi
scrolling, Kaydirma
scroll_speed_normal, Kaydirma Hizi
scroll_speed_shift, Kaydirma Hizi (Shift)
use_smooth_scroll, Yumusak kaydirmayi kullan
smooth_scroll_time, Yumusak kaydirma süresi
return_to_last_tick, Duraklatildiginda Son Tikiye Dön
cursor_auto_scroll, Imleç Otomatik Kaydirma
cursor_auto_scroll_amount, Imleç Otomatik Kaydirma Yüzdesi
#- division_type,
background, Arka plan
background_image, Arka plan resmi
draw_background, Arka plan resmini çiz
background_brightness, Arka Plan Parlakligi
lanes_opacity, Yol Opakligi
video, Video
#- visuals,
#- notes_skin,
notes_se, Not SE
show_tick_in_properties, Not Özellikleri Penceresinde Tik Göster
#- warn_score_extension_disable,

# score editor
options, Seçenekler
chart_properties, Grafik Özellikleri
note_properties, Nota Özellikleri
notes_timeline, Notalar Zaman Çizelgesi
select, Seç
tap, Dokun
hold, Basili Tut
hold_step, Ortasina Basili Tut
flick, Firlat
critical, Kritik
#- dummy,
#- hold_dummy,
#- hold_critical,
#- hold_separator,
trace, Iz
guide, Kilavuz
damage, Hasar
bpm, BPM
time_signature, Zaman Imzasi
none, Yok
default, Varsayilan
left, Sol
right, Sag
#- down,
#- down_left,
#- down_right,
normal, Normal
hidden, Gizli
skip, Atlama
linear, Lineer
ease_in, Yavasça Gir
ease_out, Yavasça Çik
ease_in_out, Yavasça Gir ve Çik
ease_out_in, Yavasça Çik ve Gir
#- ease_none,
#- sound_effect,
#- sfx_default,
#- sfx_none,
#- sfx_tap,
#- sfx_flick,
#- sfx_trace,
#- sfx_tick,
#- sfx_crit_tap,
#- sfx_crit_flick,
#- sfx_crit_trace,
#- sfx_crit_tick,
#- sfx_damage,
#- hold_layer_top,
#- hold_layer_bottom,
#- hold_layer_tooltip,
delete, Sil
copy, Kopyala
cut, Kes
paste, Yapistir
flip_paste, Çevir ve Yapistir
duplicate, Kopyasini Olustur
flip_duplicate, Çevir ve Kopyasini Olustur
flip, Çevir
note_width, Nota Genisligi
#- note_align,
shrink_down, Küçült
shrink_up, Büyüt
#- compress_selection,
connect_holds, Basili Tutma Bagla
split_hold, Basili Tutmayi Böl
repeat_hold_mids, Basili Tutma Ortalarini Tekrarla
#- hold_to_traces,
#- add_traces_for_hold,
#- convert_hold_to_traces,
#- convert_guide_hold,
#- convert_guide_to_hold,
#- convert_hold_to_guide,
#- convert_hold_to_none,
lerp_hispeeds, Hi-Speed'leri Arastir
step_type, Basili Tutma Türü
#- step_alpha,
ease_type, Yavaslama Türü
flick_type, Firlatma Türü
hold_type, Basili Tutma Türü
fade_type, Solma Türü
#- hold_start_type,
#- hold_end_type,
metadata, Meta veri
title, Baslik
designer, Tasarimci
artist, Sanatçi
jacket, Kapak
lane_extension, Yol Uzantisi
#- life_point,
audio, Ses
music_file, Müzik Dosyasi
