# code: vi
# key, value

language_name, Tiếng Việt
translator,N/A

# menu bar
file,Tệp
new,Mới
open,Mở
open_recent,Mở tệp gần đây
clear,Xóa
save,Lưu
save_as,Lưu như
export_score,Xuất score
exit,Thoát
edit,Sửa
undo,Hoàn tác
redo,Làm lại
select_all,Chọn tất cả
view,Xem
settings,Cài đặt
window,Cửa sổ
vsync,VSync
show_fps,Hiện FPS
debug,Debug
create_auto_save,Tạo tự động sao lưu
help,Trợ giúp
about,Giới thiệu

# dialogs
file_not_found,Tệp không được tìm thấy
file_not_found_msg1,Tệp
file_not_found_msg2,không được tìm thấy
remove_recent_file_not_found,Bạn có muốn xóa khỏi danh sách tệp gần đây không?
yes,Có
no,Không
unsaved_changes,Thay đổi chưa được lưu
ask_save,Bạn có muốn thay đổi gần đây không?
warn_unsaved,Bất kì thay đổi chưa lưu sẽ bị mất.
save_changes,Lưu thay đổi
discard_changes,Hủy bỏ thay đổi
update_available,Phiên bản mới đang có sẵn!
update_available_description,%s đang có sẵn. Bạn có muốn mở ở trình duyệt không?
score_file,Tệp score
export_successful,Xuất thành công
unknown_file_format,Định dạng tệp không xác định
open_as_file_format,Bạn muốn mở tệp dưới dạng...
export_as_file_format,Chọn định dạng để xuất...
error,Lỗi
error_load_score_file,Đã có lỗi xuất hiện khi đang đọc tệp score
error_save_score_file,Đã có lỗi xuất hiện khi đang lưu tệp score
error_load_music_file,Không thể mở file nhạc
score_partially_missing,Một số phần của score có thể bị thiếu!
cancel,Hủy
general,Chung
key_config,Phím tắt
language,Ngôn ngữ
minify,Thu gọn
auto,Tự động
auto_save,Tự động lưu
auto_save_enable,Tự động lưu được bật
auto_save_interval,Tự động lưu sau (phút)
auto_save_count,Số lần lưu tối đa
accent_color,Màu chủ đạo
accent_color_help,Chọn một màu chủ đạo để áp dụng. Ô đầu tiên có thể chỉnh sửa từ bảng màu phía dưới
select_accent_color,Chọn một màu chủ đạo.
display_mode,Chế độ hiển thị
theme,Chủ đề
base_theme,Cơ bản
theme_light,Sáng
theme_dark,Tối
custom_color,Màu tự chọn
timeline,Dòng thời gian
match_notes_size_to_timeline,Điểu chỉnh kích thước note theo độ rộng của dòng thời gian
lane_width,Độ rộng lane
notes_height,Độ cao của note
scrolling,Cuộn
scroll_speed_normal,Tốc độ cuộn
scroll_speed_shift,Tốc độ cuộn (Shift)
use_smooth_scroll,Sử dụng cuộn mượt
smooth_scroll_time,Thời gian cuộn mượt
return_to_last_tick,Quay lại tick cuối khi dừng
cursor_auto_scroll,Tự động cuộn theo con trỏ
cursor_auto_scroll_amount,Phần trăm tự động cuộn theo con trỏ trên dòng thời gian
background,Nền
background_image,Ảnh hình nền
draw_background,Hiện ảnh hình nền
background_brightnes,Độ sáng hình nền
lanes_opacity,Độ trong suốt của lane
video,Video
notes_se,Notes hiệu ứng âm thanh
show_tick_in_properties,Hiện thuộc tính Tick trên thanh thông tin

# score editor
options,Cài đặt
chart_properties,Thông tin Chart
note_properties,Thông tin Note
notes_timeline,Dòng thời gian Notes
select,Chọn
tap,Tap
hold,Hold
hold_step,Hold Mid
flick,Flick
critical,Critical
dummy,Fake
hold_dummy,Fake Hold
trace,Trace
guide,Guide
damage,Damage
bpm,BPM
time_signature,Số chỉ nhịp
none,Không
default,Thẳng
left,Trái
right,Phải
#- down,
#- down_left,
#- down_right,
normal,Bình thường
hidden,Không
skip,Gắn theo
linear,Thẳng
ease_in,Cong vào
ease_out,Cong ra
ease_in_out,Cong vào ra
ease_out_in,Cong ra vào
delete,Xóa
copy,Sao chép
cut,Cắt
paste,Dán
flip_paste,Dán và lật ngược
duplicate,Nhân bản
flip_duplicate,Nhân bản và lật ngược
flip,Lật ngược
note_width,Độ rộng Note
shrink_down,Co xuống
shrink_up,Co lên
compress_selection,Nén lựa chọn
connect_holds,Nối Holds
split_hold,Tách Hold
repeat_hold_mids,Lặp Hold Mids
hold_to_traces,Chuyển Hold thành Trace
add_traces_for_hold,Thêm Trace vào Hold
convert_hold_to_traces,Chuyển đổi Hold
#- convert_guide_hold,
#- convert_guide_to_hold,
#- convert_hold_to_guide,
lerp_hispeeds,Ước tính Hi-Speeds
step_type,Loại Step
ease_type,Loại Ease
flick_type,Loại Flick
hold_type,Loại Hold
fade_type,Loại Fade
hold_start_type,Loại Hold Start
hold_end_type,Loại Hold End
metadata,Metadata
title,Tiêu đề
designer,Designer
artist,Nghệ sĩ
jacket,Jacket
lane_extension, Độ mở rộng Lane
audio,Audio
music_file,File nhạc
music_offset,Offset nhạc
volume_master,Âm thanh tổng
volume_bgm,Nhạc
volume_se,Hiệu ứng
statistics,Thông số
hispeeds,Hi-Speeds
taps,Taps
flicks,Flicks
holds,Holds
steps,Holds Mids
guides,Guides
traces,Traces
total,Tổng
combo,Combo
goto_measure,Đi đến Measure
division,%d Division
division_affix,%d Division
custom,Tự chỉnh 
custom_division,Tự chỉnh Division
snap_mode,Căn chỉnh
snap_mode_relative,Dính Tương đối
snap_mode_absolute,Dính Tuyệt đối
snap_mode_individual_absolute,Dính Tuyệt đối Riêng
zoom,Zoom
show_step_outlines,Hiện Step Outlines
draw_waveform,Hiện Waveform
edit_bpm,Chỉnh sử Tempo
tick,Tick
remove,Xóa
edit_time_signature,Sửa Time Signature
measure,Measure
skill,Kĩ năng
increase_note_size,Tăng kích cỡ note
decrease_note_size,Giảm kích cỡ note
hi_speed,Hi-Speed
edit_hi_speed,Chỉnh sửa Hi-Speed
hi_speed_speed,Tốc độ
#- hi_speed_skip_beat,
#- hi_speed_ease,
#- hi_speed_ease_none,
#- hi_speed_ease_linear,
#- hi_speed_hide_notes,
fade_none,No Fade
fade_in,Fade In
fade_out,Fade Out
guide_color,Màu Guide
guide_neutral,Trắng
guide_red,Đỏ
guide_blue,Xanh nước biển
guide_green,Xanh lá
guide_yellow,Vàng
guide_purple,Tím
guide_cyan, Lục lam
guide_black,Đen
layer,Layer
edit_skill,Chỉnh sửa Skill Trigger
edit_fever,Chỉnh sửa FEVER Trigger
edit_none,Sửa
edit_event,Chỉnh sửa Event
beat,Nhịp
lane,Lane
width,Độ rộng
advanced,Nâng cao
note_properties_note,Thông tin note
note_properties_hi_speed,Thông tin hi-speed
note_properties_hold_note,Thông tin Hold Notes
note_properties_guide,Thông tin Guide
note_properties_not_selected,Không có note hoặc hi-speed nào được chọn
note_properties_many_hold_notes,Đang lựa chọn nhiều hơn một Hold note
translated_by,Dịch bởi: %s
zoom_tooltip,Ctrl+Chuột Trái để chỉnh sửa

# preset manager
presets,Presets
no_presets,Không có Preset nào có sẵn
preset_name,Tên
description,Mô tả
